nfe,time,best_f,best_P,instance,seed,manhattan_diam,num_units,num_sensors
1500,8,0.8,"[<ptreeopt.tree.PTree object at 0x155528302340>
 <ptreeopt.tree.PTree object at 0x155528302a30>
 <ptreeopt.tree.PTree object at 0x155528302460>]",7,1,10,3,10
1600,9,0.8,"[<ptreeopt.tree.PTree object at 0x155528302340>
 <ptreeopt.tree.PTree object at 0x155528302a30>
 <ptreeopt.tree.PTree object at 0x155528302460>]",7,1,10,3,10
1700,9,0.8,"[<ptreeopt.tree.PTree object at 0x155528302340>
 <ptreeopt.tree.PTree object at 0x155528302a30>
 <ptreeopt.tree.PTree object at 0x155528302460>]",7,1,10,3,10
1800,10,0.8,"[<ptreeopt.tree.PTree object at 0x155528302340>
 <ptreeopt.tree.PTree object at 0x155528302a30>
 <ptreeopt.tree.PTree object at 0x155528302460>]",7,1,10,3,10
1900,10,0.8,"[<ptreeopt.tree.PTree object at 0x155528302340>
 <ptreeopt.tree.PTree object at 0x155528302a30>
 <ptreeopt.tree.PTree object at 0x155528302460>]",7,1,10,3,10
2000,11,0.8,"[<ptreeopt.tree.PTree object at 0x155528302340>
 <ptreeopt.tree.PTree object at 0x155528302a30>
 <ptreeopt.tree.PTree object at 0x155528302460>]",7,1,10,3,10
2100,12,0.79,"[<ptreeopt.tree.PTree object at 0x1555282b21f0>
 <ptreeopt.tree.PTree object at 0x1555282b28e0>
 <ptreeopt.tree.PTree object at 0x1555282b27f0>]",7,1,10,3,10
2200,12,0.79,"[<ptreeopt.tree.PTree object at 0x1555282b21f0>
 <ptreeopt.tree.PTree object at 0x1555282b28e0>
 <ptreeopt.tree.PTree object at 0x1555282b27f0>]",7,1,10,3,10
2300,13,0.79,"[<ptreeopt.tree.PTree object at 0x1555282b21f0>
 <ptreeopt.tree.PTree object at 0x1555282b28e0>
 <ptreeopt.tree.PTree object at 0x1555282b27f0>]",7,1,10,3,10
2400,13,0.79,"[<ptreeopt.tree.PTree object at 0x1555282b21f0>
 <ptreeopt.tree.PTree object at 0x1555282b28e0>
 <ptreeopt.tree.PTree object at 0x1555282b27f0>]",7,1,10,3,10
2500,14,0.79,"[<ptreeopt.tree.PTree object at 0x1555282b21f0>
 <ptreeopt.tree.PTree object at 0x1555282b28e0>
 <ptreeopt.tree.PTree object at 0x1555282b27f0>]",7,1,10,3,10
2600,15,0.79,"[<ptreeopt.tree.PTree object at 0x1555282b21f0>
 <ptreeopt.tree.PTree object at 0x1555282b28e0>
 <ptreeopt.tree.PTree object at 0x1555282b27f0>]",7,1,10,3,10
2700,15,0.79,"[<ptreeopt.tree.PTree object at 0x1555282b21f0>
 <ptreeopt.tree.PTree object at 0x1555282b28e0>
 <ptreeopt.tree.PTree object at 0x1555282b27f0>]",7,1,10,3,10
2800,16,0.79,"[<ptreeopt.tree.PTree object at 0x1555282b21f0>
 <ptreeopt.tree.PTree object at 0x1555282b28e0>
 <ptreeopt.tree.PTree object at 0x1555282b27f0>]",7,1,10,3,10
2900,16,0.79,"[<ptreeopt.tree.PTree object at 0x1555282b21f0>
 <ptreeopt.tree.PTree object at 0x1555282b28e0>
 <ptreeopt.tree.PTree object at 0x1555282b27f0>]",7,1,10,3,10
3000,17,0.79,"[<ptreeopt.tree.PTree object at 0x1555282b21f0>
 <ptreeopt.tree.PTree object at 0x1555282b28e0>
 <ptreeopt.tree.PTree object at 0x1555282b27f0>]",7,1,10,3,10
